,name,latitude,longitude,capacity,rackType,organisation,isSheltered,qr
0,760311-2,1.43158,103.840819,8,RACKS,HDB,Y,YSH-02AD
1,510248-3,1.370783,103.962866,8,RACKS,HDB,Y,PSR-0163
2,BUS STOP 63319,1.369219,103.878272,16,YELLOWBOX,,N,HOG-001B
3,793408-1,1.38918,103.876623,3,RACKS,HDB,Y,SKG-05B8
4,560578-2,1.371881,103.854673,7,RACKS,HDB,Y,AMK-02C2
5,600135-1,1.333771,103.740295,6,RACKS,HDB,N,JRE-00FD
6,BUS STOP 78111,1.375389,103.958693,16,YELLOWBOX,,N,
7,460004-1,1.322379,103.932947,5,RACKS,HDB,Y,BDK-013E
8,BUS STOP 54351,1.376508,103.849325,10,YELLOWBOX,,N,AMK-03C6
9,BUS STOP 63299,1.35266,103.888391,16,YELLOWBOX,,N,HOG-002B
10,730436-1,1.426635,103.774411,6,RACKS,HDB,Y,WLS-0304
11,161055-2,1.290022,103.829164,3,RACKS,HDB,Y,BKM-025E
12,CHOA CHU KANG CRESCENT BLOCK 672B_YB,1.401832,103.747159,16,YELLOWBOX,,Y,CCK-005D
13,640483-1,1.347352,103.725618,5,RACKS,HDB,Y,JRW-0206
14,380038-2,1.317962,103.87415,6,RACKS,HDB,Y,KLG-01EA
15,550232-1,1.35474,103.868502,6,RACKS,HDB,Y,SRG-0105
16,570251-4,1.361702,103.844423,12,RACKS,HDB,Y,BIS-013B
17,530357-2,1.37304,103.899234,14,RACKS,HDB,Y,HOG-01A1
18,520262-1,1.353719,103.95055,8,RACKS,HDB,Y,TPN-0049
19,734781_1,1.448504,103.802499,8,RACKS,HDB,Y,WDL-001F
20,792405-1,1.389017,103.873615,2,RACKS,HDB,Y,SKG-0525
21,CHOA CHU KANG NORTH 6 BLOCK 555_YB,1.396311,103.743765,10,YELLOWBOX,,Y,CCK-001E
22,470719-1,1.336388,103.924701,5,RACKS,HDB,Y,BDK-0519
23,760459-1,1.421102,103.846587,10,RACKS,HDB,Y,YSH-005D
24,820297-1,1.402183,103.905356,6,RACKS,HDB,Y,PGL-00F3
25,WOODLANDS DRIVE 60 BLOCK 778_YB,1.447302,103.799757,23,YELLOWBOX,,Y,WLS-0415
26,682817-1,1.377154,103.748988,24,RACKS,HDB,Y,CCK-034A
27,670506-1,1.386877,103.767899,6,RACKS,HDB,Y,BPJ-020B
28,460028-16,1.323625,103.934537,15,RACKS,HDB,Y,BDK-018C
29,541204-2,1.388207,103.89462,4,RACKS,HDB,Y,SKG-0192
30,440052-2,1.3059,103.915949,7,RACKS,HDB,Y,MRP-0111
31,ANG MO KIO STREET 52 BLOCK 588D_YB,1.371644,103.853923,10,YELLOWBOX,,Y,AMK-0087
32,461547-1,1.329973,103.926101,10,RACKS,HDB,Y,BDK-0620
33,683801-1,1.375159,103.742881,5,RACKS,HDB,Y,CCK-031E
34,BUS STOP 75261,1.358069,103.937964,10,YELLOWBOX,,N,TPN-06F3
35,100072-1,1.276178,103.809528,6,RACKS,HDB,Y,BKM-013E
36,WOODLANDS STREET 41 BLOCK 411_YB,1.428487,103.772818,10,YELLOWBOX,,Y,WLS-00BB
37,BUS STOP 91059,1.300503,103.888399,10,YELLOWBOX,,N,MRP-0008
38,440073-1,1.303879,103.908389,5,RACKS,HDB,Y,MRP-0027
39,560124-P1,1.370843,103.8449,10,RACKS,HDB,Y,AMK-0400
40,142058-1,1.293186,103.81067,9,RACKS,HDB,Y,QST-013F
41,050531-1,1.284765,103.845013,6,RACKS,HDB,N,OUT-0017
42,520403-3,1.357501,103.945002,10,RACKS,HDB,Y,TPN-0244
43,YISHUN RING ROAD BLOCK 397_YB,1.427885,103.847218,13,YELLOWBOX,,Y,YSH-0313
44,SENGKANG MRT D,1.392464,103.895512,30,RACKS,MRT,N,SKG-0614
45,822635-1,1.400827,103.913932,4,RACKS,HDB,Y,PGL-0201
46,653448-7,1.352378,103.740156,22,RACKS,HDB,Y,BKB-0206
47,BUS STOP 60211,1.328528,103.870428,10,YELLOWBOX,,N,TPY-031F
48,521450-2,1.358349,103.952011,7,RACKS,HDB,Y,TPN-0498
49,550213-1,1.357142,103.873273,4,RACKS,HDB,Y,SRG-00EB
50,310050-1,1.336979,103.852924,5,RACKS,HDB,Y,TPY-00E3
51,310070-2,1.334417,103.852603,15,RACKS,HDB,N,TPY-00F7
52,JALAN KAYU BLOCK 446B_YB,1.391785,103.873271,10,YELLOWBOX,,N,SKG-0076
53,140164-3,1.291494,103.802305,6,RACKS,HDB,Y,QST-00FE
54,143062-2,1.294567,103.810793,4,RACKS,HDB,Y,QST-0156
55,TAMPINES STREET 41 BLOCK 401_A_YB,1.357062,103.944743,16,YELLOWBOX,,Y,TPN-0241
56,460011-2,1.326925,103.924831,8,RACKS,HDB,Y,BDK-048A
57,400339-1,1.326414,103.901784,15,RACKS,HDB,Y,GYL-028D
58,391012-1,1.308499,103.88239,15,RACKS,HDB,Y,GYL-0330
59,680682-2,1.402711,103.745304,6,RACKS,HDB,Y,CCK-006A
60,311084-2,1.335361,103.847055,12,RACKS,HDB,Y,TPY-01FD
61,560645-P1,1.379327,103.84268,6,RACKS,HDB,Y,AMK-03FA
62,320093-3,1.322033,103.855059,5,RACKS,HDB,Y,NOV-0065
63,680542-1,1.393431,103.745048,4,RACKS,HDB,Y,CCK-0206
64,640726-1,1.345329,103.69702,10,RACKS,HDB,Y,JRW-05C0
65,760787-2,1.421059,103.831867,14,RACKS,HDB,Y,YSH-066A
66,400012-2,1.322183,103.903825,4,RACKS,HDB,Y,GYL-0229
67,WOODLANDS DRIVE 16 BLOCK 588A_YB,1.42812,103.79496,15,YELLOWBOX,,N,WLS-01D9
68,520872-1,1.354093,103.932571,7,RACKS,HDB,Y,TPN-03AC
69,380124-3,1.318408,103.88693,7,RACKS,HDB,Y,GYL-01B8
70,640688-1,1.340853,103.705332,4,RACKS,HDB,Y,JRW-02A0
71,510215-5,1.36795,103.961619,16,RACKS,HDB,Y,PSR-0113
72,380110-2,1.319967,103.884203,8,RACKS,HDB,Y,GYL-01A8
73,CHOA CHU KANG CRESCENT BOCK 665_YB,1.402004,103.75002,10,YELLOWBOX,,Y,CCK-024D
74,730428-2,1.427,103.772389,18,RACKS,HDB,Y,
75,524609-3,1.363806,103.937076,6,RACKS,HDB,Y,TPN-0734
76,750411-1,1.452192,103.817888,12,RACKS,HDB,Y,SBW-0056
77,761348-1,1.427521,103.84114,4,RACKS,HDB,Y,YSH-04E2
78,540195-3,1.393036,103.902674,6,RACKS,HDB,Y,
79,544250-1,1.393074,103.900054,3,RACKS,HDB,Y,SKG-015D
80,730647-1,1.438024,103.80106,8,RACKS,HDB,Y,WLS-0150
81,600270-3,1.341127,103.746072,6,RACKS,HDB,Y,JRE-0195
82,HILLVIEW MRT B1,1.362173,103.767087,78,RACKS,MRT,N,BKB-0053
83,JOO SENG ROAD BLOCK 17_YB,1.3362,103.881362,13,YELLOWBOX,,Y,TPY-0046
84,BUS STOP 58089,1.458763,103.836364,10,YELLOWBOX,,N,SBW-0003
85,TAMPINES STREET 12 BLOCK 157_YB,1.35102,103.944855,16,YELLOWBOX,,Y,TPN-05FC
86,760102-2,1.430458,103.828526,12,RACKS,HDB,N,YSH-01A7
87,763675-3,1.419255,103.84248,6,RACKS,HDB,Y,YSH-05A3
88,682816-1,1.37631,103.748345,42,RACKS,HDB,Y,CCK-02E4
89,JALAN DUSUN BLOCK 104_YB,1.32821,103.844011,16,YELLOWBOX,,N,NOV-0007
90,521887-1,1.350272,103.931539,21,RACKS,HDB,Y,TPN-04E3
91,570270-1,1.356936,103.842449,3,RACKS,HDB,Y,BIS-015A
92,460119-3,1.330213,103.938655,14,RACKS,HDB,Y,BDK-029C
93,670139-1,1.375322,103.76958,5,RACKS,HDB,Y,BPJ-0176
94,FOREST RAMBLE,1.336127,103.72647,36,RACKS,NPARKS,N,JRE-027D
95,670223-1,1.37581,103.773362,8,RACKS,HDB,Y,BPJ-028F
96,550509-3,1.372304,103.876191,14,RACKS,HDB,Y,SRG-0161
97,730217-1,1.446734,103.772515,8,RACKS,HDB,Y,WLS-006D
98,550229-2,1.355986,103.870473,6,RACKS,HDB,Y,SRG-0102
99,600273-4,1.342702,103.745329,7,RACKS,HDB,Y,JRE-01A2
100,691126_2,1.359389,103.735858,4,RACKS,HDB,Y,TEG-001E
101,330065-3,1.320108,103.867915,6,RACKS,HDB,Y,KLG-01A0
102,430003-1,1.311548,103.897085,2,RACKS,HDB,Y,GYL-02C9
103,640613-2,1.340082,103.700654,14,RACKS,HDB,Y,JRW-0278
104,BUKIT PANJANG RING ROAD BLOCK 253_YB,1.379966,103.77488,13,YELLOWBOX,,Y,BPJ-007F
105,141051-1,1.301343,103.797518,18,RACKS,HDB,Y,QST-011E
106,761813-1,1.41838,103.832662,8,RACKS,HDB,Y,YSH-051D
107,730666_1,1.438221,103.797443,8,RACKS,HDB,Y,WLS-05E7
108,541224-1,1.387872,103.898081,4,RACKS,HDB,Y,SKG-01AA
109,TAMPINES STREET 41 BLOCK 401_B_YB,1.357142,103.945224,10,YELLOWBOX,,Y,TPN-0240
110,760741-3,1.429225,103.830832,10,RACKS,HDB,Y,YSH-040E
111,822624-2,1.400824,103.911764,6,RACKS,HDB,Y,PGL-031A
112,520503-4,1.356097,103.945024,8,RACKS,HDB,Y,
113,760273-1,1.437752,103.839857,10,RACKS,HDB,Y,YSH-0091
114,530166-1,1.351271,103.888075,4,RACKS,HDB,Y,HOG-0145
115,542306-3,1.389701,103.888467,5,RACKS,HDB,Y,SKG-02F7
116,343118A-01,1.336932,103.87377,4,RACKS,HDB,Y,TPY-02E0
117,161079-1,1.291057,103.828977,4,RACKS,HDB,Y,BKM-026E
118,542312-3,1.391592,103.885396,10,RACKS,HDB,Y,SKG-021C
119,821623-3,1.39989,103.912027,3,RACKS,HDB,Y,PGL-01F5
120,MARSILING ROAD BLOCK 138_B_YB,1.438135,103.77748,8,YELLOWBOX,,Y,WLS-0042
121,543257-6,1.392794,103.896528,7,RACKS,HDB,Y,SKG-038D
122,ST GEORGE'S LANE BLOCK 6_YB,1.323411,103.858704,10,YELLOWBOX,,Y,KLG-00F6
123,JURONG WEST STREET 64 BLOCK 660_YB,1.335144,103.70382,22,YELLOWBOX,,N,JRW-002E
124,PETIR ROAD BLOCK 211_YB,1.374704,103.776111,13,YELLOWBOX,,Y,BPJ-0058
125,750305-2,1.445469,103.821831,10,RACKS,HDB,Y,SBW-00E2
126,BISHAN STREET 23 BISHAN ACTIVE PARK_YB,1.356885,103.846578,16,YELLOWBOX,,N,BIS-003C
127,543323-2,1.392936,103.892536,5,RACKS,HDB,Y,SKG-0402
128,752102-3,1.451151,103.831588,6,RACKS,HDB,Y,SBW-02B8
129,COMPASSVALE LANE BLOCK 209A_YB,1.383455,103.898534,10,YELLOWBOX,,Y,SKG-00AE
130,650417-1,1.3629,103.746729,5,RACKS,HDB,Y,BKB-015C
131,MARINA BAY MRT_YB2,1.277496,103.854269,10,YELLOWBOX,,N,MRS-0005
132,BUS STOP 47539,1.429258,103.797976,7,YELLOWBOX,,N,WLS-0542
133,BUS STOP 54201,1.376221,103.839308,10,YELLOWBOX,,N,AMK-0390
134,542295-1,1.39767,103.9003,4,RACKS,HDB,Y,SKG-03C8
135,BUS STOP 21041,1.320862,103.720057,10,YELLOWBOX,,N,BLY-001B
136,520259-5,1.354849,103.949481,10,RACKS,HDB,Y,TPN-0187
137,260003-2,1.318732,103.808519,4,RACKS,HDB,Y,BKT-0054
138,SWISS VIEW,1.346153,103.789369,11,YELLOWBOX,,N,BKT-0038
139,560110-1,1.370454,103.837337,4,RACKS,HDB,Y,AMK-00E7
140,142090-5,1.295487,103.81221,8,RACKS,HDB,Y,QST-014D
141,310209-1,1.34172,103.844786,5,RACKS,HDB,Y,TPY-01AD
142,JURONG WEST AVENUE 1 BLOCK 537_YB,1.350541,103.716501,7,YELLOWBOX,,Y,JRW-0054
143,WOODLANDS SPRING BLK 799A YB_1,1.446726,103.799774,10,YELLOWBOX,,Y,WLS-0591
144,680011-1,1.379749,103.75491,6,RACKS,HDB,Y,CCK-0122
145,530571-2,1.378607,103.887966,5,RACKS,HDB,Y,HOG-0262
146,BUS STOP 77251,1.382423,103.938489,10,YELLOWBOX,,N,PSR-002C
147,162044-1,1.288932,103.826922,3,RACKS,HDB,Y,BKM-027E
148,510702-1,1.38024,103.937688,5,RACKS,HDB,Y,PSR-0307
149,BUS STOP 23261,1.312719,103.685873,10,YELLOWBOX,,N,PIO-005D
150,PUNGGOL DRIVE BLOCK 639_1,1.399589,103.916065,12,RACKS,HDB,N,PGL-0053
151,SURFACE ENGINEERING HUB 2,1.311267,103.699942,10,RACKS,JTC,N,BLY-0013
152,400302-3,1.330566,103.901218,6,RACKS,HDB,Y,GYL-025D
153,460121-2,1.329626,103.938557,8,RACKS,HDB,Y,BDK-02A1
154,540193-4,1.393707,103.901735,8,RACKS,HDB,Y,SKG-012F
155,461473_1,1.426752,103.853597,10,RACKS,HDB,Y,YSH-0701
156,822226-1,1.402763,103.893691,16,RACKS,HDB,Y,PGL-02BA
157,821666-1,1.401613,103.914998,7,RACKS,HDB,Y,PGL-0226
158,CHOA CHU KANG AVENUE 5 BLOCK 476A_YB,1.376474,103.738,9,YELLOWBOX,,Y,CCK-00D9
159,MONTREAL DRIVE BLOCK 504D_YB,1.450814,103.82396,18,YELLOWBOX,,Y,SBW-0024
160,470604-2,1.330795,103.913185,5,RACKS,HDB,Y,BDK-066C
161,820130-1,1.393256,103.909917,8,RACKS,HDB,Y,PGL-00B0
162,HOUGANG AVENUE 10 BLOCK 416_YB,1.375259,103.895878,16,YELLOWBOX,,Y,HOG-0098
163,BEDOK RESERVOIR ROAD BLOCK 631_2,1.333496,103.915399,3,RACKS,HDB,Y,BDK-0615
164,544275-2,1.382841,103.894207,4,RACKS,HDB,Y,SKG-0460
165,400035-1,1.321154,103.901397,8,RACKS,HDB,Y,GYL-0030
166,821677-1,1.40522,103.909211,2,RACKS,HDB,Y,PGL-023A
167,680607-1,1.39889,103.743972,3,RACKS,HDB,Y,CCK-022C
168,550222-1,1.358833,103.87147,8,RACKS,HDB,Y,SRG-0087
169,753131B-1,1.444024,103.830757,4,RACKS,HDB,Y,SBW-0267
170,521899-4,1.346322,103.935082,10,RACKS,HDB,Y,TPN-04FB
171,460137-3,1.328762,103.935216,7,RACKS,HDB,Y,BDK-02CB
172,WOODLANDS DRIVE 14 BLOCK 515_YB,1.434715,103.790562,16,YELLOWBOX,,Y,WLS-00C9
173,310082-3,1.336009,103.848622,3,RACKS,HDB,Y,TPY-0107
174,751509_2,1.453204,103.82074,6,RACKS,HDB,Y,SBW-01A1
175,570245-1,1.36058,103.844405,4,RACKS,HDB,Y,BIS-0133
176,822615-1,1.403807,103.910036,16,RACKS,HDB,Y,PGL-030B
177,CHOA CHU KANG CENTRAL BLOCK 210_YB,1.382545,103.747838,12,YELLOWBOX,,Y,CCK-0173
178,470761-5,1.336116,103.933962,5,RACKS,HDB,Y,BDK-052F
179,PETIR ROAD BLOCK 180_YB,1.378979,103.765064,16,YELLOWBOX,,Y,BPJ-019B
180,090033-2,1.274099,103.822547,14,RACKS,HDB,Y,BKM-00F4
181,600238-1,1.340641,103.7405,3,RACKS,HDB,Y,JRE-0140
182,680133-2,1.380738,103.751099,6,RACKS,HDB,Y,CCK-035D
183,BUS STOP 21639,1.333398,103.725108,14,YELLOWBOX,,N,JRE-0044
184,GHIM MOH PARK CONNECTOR (NEAR MT SINAI CONDOS),1.315573,103.775289,10,YELLOWBOX,,N,QST-002F
185,530158-1,1.351697,103.880261,6,RACKS,HDB,Y,HOG-013F
186,HEARTBEAT@BEDOK_B_R,1.326737,103.932464,22,RACKS,PA,Y,BDK-05DE
187,640409-1,1.354201,103.725081,10,RACKS,HDB,Y,JRW-0196
188,641238_1,1.341557,103.710222,24,RACKS,HDB,Y,JRW-063F
189,YEW TEE MRT YB_2,1.39667,103.747322,21,YELLOWBOX,,N,CCK-0002
190,520353-1,1.354798,103.962961,5,RACKS,HDB,Y,TPN-0209
191,670421-1,1.384483,103.770157,10,RACKS,HDB,Y,BPJ-01D6
192,520291-2,1.350015,103.955274,9,RACKS,HDB,Y,TPN-0602
193,792407-2,1.388967,103.875295,3,RACKS,HDB,Y,SKG-052D
194,HAIG ROAD BLOCK 11_YB,1.31499,103.89654,10,YELLOWBOX,,Y,GYL-0043
195,730638-1,1.436708,103.803224,4,RACKS,HDB,Y,WLS-0379
196,670651-1,1.38656,103.763654,4,RACKS,HDB,Y,BPJ-0249
197,570278-1,1.35736,103.843523,7,RACKS,HDB,Y,BIS-0161
198,600408-2,1.318138,103.749217,5,RACKS,HDB,Y,JRE-0236
199,640485-3,1.348353,103.727033,10,RACKS,HDB,Y,JRW-020D
200,390042-4,1.310577,103.886532,12,RACKS,HDB,Y,GYL-01E5
201,310221-1,1.342428,103.856973,6,RACKS,HDB,Y,TPY-01BB
202,BUKIT PANJANG RING ROAD BLOCK 544_YB,1.382007,103.763969,10,YELLOWBOX,,Y,BPJ-00F1
203,SERANGOON CENTRAL BLOCK 422_YB,1.34895,103.876379,6,YELLOWBOX,,Y,SRG-0070
204,684686-4,1.404207,103.748448,6,RACKS,HDB,Y,CCK-0314
205,DEFU INDUSTRIAL EXIT (BLOCK 1),1.358989,103.893586,16,YELLOWBOX,,N,HOG-040E
206,BUANGKOK CRESCENT BLOCK 980B_YB,1.379767,103.881033,21,YELLOWBOX,,Y,HOG-00DB
207,BUKIT PANJANG ROAD BLOCK 244_YB,1.380919,103.772011,11,YELLOWBOX,,Y,BPJ-0078
208,510206-1,1.366214,103.962729,8,RACKS,HDB,Y,PSR-0101
209,CLEMENTI AVENUE 2 BLOCK 354_YB,1.313437,103.77038,6,YELLOWBOX,,Y,CMT-0014
210,YIO CHU KANG MRT_YB,1.382193,103.844551,12,YELLOWBOX,,N,AMK-00D1
211,BUS STOP 85029,1.322499,103.954414,10,YELLOWBOX,,N,BDK-05E9
212,WOODLANDS STREET 83 BLOCK 835_YB,1.440417,103.790895,9,YELLOWBOX,,Y,WLS-022F
213,560557-1,1.371713,103.858094,9,RACKS,HDB,Y,AMK-02A6
214,BUS STOP 72069,1.331569,103.909576,13,YELLOWBOX,,N,BDK-000D
215,824303-1,1.404345,103.905044,6,RACKS,HDB,Y,PGL-048D
216,BUKIT MERAH VIEW BLOCK 119_YB,1.283551,103.82084,23,YELLOWBOX,,Y,BKM-0041
217,822623-2,1.39952,103.91175,2,RACKS,HDB,Y,PGL-0318
218,BUS STOP 84021,1.323412,103.925209,10,YELLOWBOX,,N,CGI-0032
219,460077-3,1.328643,103.94161,8,RACKS,HDB,Y,BDK-0217
220,520427-2,1.359548,103.948558,10,RACKS,HDB,Y,TPN-0272
221,JURONG EAST STREET 13 BLOCK 111_YB,1.338728,103.735653,9,YELLOWBOX,,Y,JRE-0023
222,640483-3,1.347347,103.72513,5,RACKS,HDB,Y,JRW-0208
223,PAYA LEBAR WAY BLOCK 120_YB,1.322674,103.88437,10,YELLOWBOX,,Y,GYL-01C7
224,544293-2,1.396819,103.895255,3,RACKS,HDB,Y,SKG-0465
225,821664-1,1.399643,103.917692,2,RACKS,HDB,Y,PGL-0222
226,642654-2,1.336087,103.697681,10,RACKS,HDB,Y,JRW-0434
227,560401-2,1.361054,103.855468,8,RACKS,HDB,Y,AMK-01C8
228,542295-2,1.398005,103.899788,4,RACKS,HDB,Y,SKG-01F6
229,640405-1,1.35424,103.721132,3,RACKS,HDB,Y,JRW-018E
230,381121-2,1.32181,103.882555,7,RACKS,HDB,Y,GYL-01C9
231,391092_1,1.309744,103.888977,18,RACKS,HDB,Y,GYL-0378
232,682484-1,1.376271,103.736307,5,RACKS,HDB,Y,CCK-02C6
233,312079-3,1.334607,103.84823,5,RACKS,HDB,Y,TPY-0227
234,460008-11,1.322934,103.936134,11,RACKS,HDB,Y,BDK-0157
235,381120-1,1.322524,103.884244,6,RACKS,HDB,Y,GYL-00D1
236,BUS STOP 59571,1.421176,103.843699,10,YELLOWBOX,,N,
237,BUS STOP 71169,1.326964,103.891854,10,YELLOWBOX,,N,GYL-0349
238,BUS STOP 42041,1.334519,103.786717,14,YELLOWBOX,,N,BKT-001C
239,320089-1,1.323822,103.85515,4,RACKS,HDB,N,NOV-0064
240,SIMS PLACE BLOCK 51_YB,1.316406,103.878845,16,YELLOWBOX,,N,GYL-00CC
241,541272-4,1.385506,103.893844,6,RACKS,HDB,Y,SKG-01CC
242,760794-1,1.420087,103.832442,11,RACKS,HDB,Y,YSH-0674
243,ANG MO KIO AVENUE 10 BLOCK 549_YB,1.373126,103.857292,16,YELLOWBOX,,Y,AMK-00BB
244,PETIR ROAD BLOCK 165_YB,1.376889,103.765083,16,YELLOWBOX,,Y,BPJ-003B
245,640979-P3,1.339451,103.694114,10,RACKS,HDB,Y,JRW-0069
246,670221-1,1.375594,103.773227,5,RACKS,HDB,Y,BPJ-028D
247,BUS STOP 22151,1.321331,103.696296,10,YELLOWBOX,,N,PIO-001D
248,730008-1,1.441319,103.776858,6,RACKS,HDB,Y,WLS-0593
249,ADMIRALTY MRT C4,1.440084,103.799751,208,RACKS,MRT,N,WLS-0255
250,570255-1,1.361593,103.842873,4,RACKS,HDB,Y,BIS-0140
251,BUS STOP 78261,1.378704,103.960765,13,YELLOWBOX,,N,PSR-001B
252,BARTLEY MRT B,1.343618,103.878912,20,RACKS,MRT,N,TPY-02A2
253,640721-1,1.343964,103.697801,6,RACKS,HDB,Y,JRW-02C9
254,BUS STOP 24691,1.313773,103.65701,16,YELLOWBOX,,N,PIO-0010
255,JURONG EAST STREET 32 BLOCK 302_YB,1.344531,103.734684,10,YELLOWBOX,,Y,JRE-0002
256,JELAPANG ROAD BLOCK 516_YB,1.38731,103.767114,8,YELLOWBOX,,Y,BPJ-00DC
257,822103-2,1.397758,103.904605,16,RACKS,HDB,Y,PGL-0251
258,BUS STOP 95099,1.388282,103.998729,7,YELLOWBOX,,N,CGI-003F
259,824323_1,1.412409,103.897509,16,RACKS,HDB,Y,PGL-0551
260,BUS STOP 21481,1.32599,103.712153,6,YELLOWBOX,,N,
261,PASIR RIS BI_3,1.374067,103.949636,70,RACKS,LTA,Y,PSR-03C7
262,822213-1,1.400817,103.898404,6,RACKS,HDB,Y,PGL-02B0
263,520223-2,1.34208,103.957613,7,RACKS,HDB,Y,TPN-0714
264,BUKIT PURMEI ROAD BLOCK 110_YB,1.273876,103.826995,12,YELLOWBOX,,Y,BKM-010F
265,140129-1,1.293079,103.814288,5,RACKS,HDB,Y,QST-00E5
266,822666-2,1.402108,103.91529,7,RACKS,HDB,Y,PGL-0345
267,470762-5,1.336434,103.934366,10,RACKS,HDB,Y,BDK-0532
268,120333-1,1.315168,103.767193,5,RACKS,HDB,Y,CMT-009D
269,SUNGEI KADUT DRIVE,1.428833,103.74744,10,YELLOWBOX,,N,SGK-0014
270,BUS STOP 47081,1.462085,103.803797,10,YELLOWBOX,,N,SBW-023E
271,752467-1,1.451107,103.813858,5,RACKS,HDB,Y,SBW-01D5
272,560543-3,1.374483,103.856471,4,RACKS,HDB,Y,AMK-0431
273,750484_4,1.457202,103.815113,8,RACKS,HDB,Y,WLS-065C
274,521872-3,1.355562,103.93085,8,RACKS,HDB,Y,TPN-04DB
275,JURONG GREEN CC_YB,1.350342,103.725293,8,YELLOWBOX,,N,JRW-0568
276,530833-1,1.370733,103.889397,5,RACKS,HDB,Y,HOG-0319
277,321116-6,1.327287,103.860658,8,RACKS,HDB,Y,NOV-00A8
278,BUANGKOK CRESCENT BLOCK 979B_YB,1.379602,103.87942,14,YELLOWBOX,,Y,HOG-00DE
279,520871-3,1.354358,103.932843,15,RACKS,HDB,Y,TPN-03AB
280,560352-1,1.364542,103.850795,5,RACKS,HDB,Y,AMK-01C5
281,528491-2,1.362971,103.954377,9,RACKS,HDB,Y,TPN-0632
282,600409-3,1.318449,103.747605,5,RACKS,HDB,Y,JRE-023A
283,460074-4,1.327536,103.942217,20,RACKS,HDB,Y,BDK-020F
284,BUS STOP 96139,1.346492,103.955868,10,YELLOWBOX,,N,TPN-06F6
285,600307-2,1.346509,103.73501,10,RACKS,HDB,Y,JRE-01DB
286,WOODLANDS DRIVE 16 BLOCK 573B_YB,1.430971,103.797775,9,YELLOWBOX,,Y,WLS-0216
287,821662-5,1.402044,103.918204,14,RACKS,HDB,Y,PGL-021D
288,681476-1,1.376579,103.737966,5,RACKS,HDB,Y,CCK-0288
289,SENGKANG EAST WAY BLOCK 324C_YB,1.392742,103.891689,10,YELLOWBOX,,Y,SKG-005A
290,544336-1,1.397656,103.888024,2,RACKS,HDB,Y,SKG-047E
291,PUNGGOL FIELD BLOCK 108_1,1.396409,103.908785,48,RACKS,HDB,N,PGL-007C
292,650411-1,1.364105,103.745879,8,RACKS,HDB,Y,BKB-0155
293,SEGAR ROAD BLOCK 484_YB,1.388493,103.771926,10,YELLOWBOX,,Y,BPJ-0202
294,520893-1,1.34873,103.930062,11,RACKS,HDB,Y,TPN-04EB
295,320121-1,1.319247,103.856534,5,RACKS,HDB,Y,KLG-0112
296,600044-4,1.320717,103.741648,3,RACKS,HDB,Y,JRE-00BF
297,730339-1,1.431026,103.78175,8,RACKS,HDB,Y,WLS-02C9
298,BUS STOP 84481,1.337504,103.915107,10,YELLOWBOX,,N,BDK-05B7
299,BUS STOP 23509,1.324669,103.695672,10,YELLOWBOX,,N,PIO-0038
300,UBI AVENUE 1 BLOCK 346_YB,1.325972,103.899458,6,YELLOWBOX,,Y,GYL-0060
301,370037-1,1.328259,103.885867,5,RACKS,HDB,Y,GYL-0102
302,520736-4,1.358757,103.934406,12,RACKS,HDB,Y,TPN-0312
303,TAMPINES STREET 11 BLOCK 127_YB,1.345348,103.950477,16,YELLOWBOX,,Y,TPN-0607
304,760297-2,1.435909,103.835548,8,RACKS,HDB,Y,YSH-0293
305,681489-1,1.375647,103.740497,7,RACKS,HDB,Y,CCK-00EC
306,642196-1,1.342694,103.714248,4,RACKS,HDB,Y,JRW-0412
307,650231-1,1.349249,103.754218,9,RACKS,HDB,Y,BKB-00C4
308,750472-2,1.451509,103.816179,10,RACKS,HDB,Y,SBW-0146
309,YISHUN AVENUE 2 BLOCK 834_YB,1.415039,103.834184,16,YELLOWBOX,,Y,YSH-00C4
310,640440-1,1.351362,103.722521,5,RACKS,HDB,Y,JRW-01C2
311,520298-1,1.351803,103.954803,14,RACKS,HDB,Y,TPN-01CC
312,CANBERRA ROAD BLOCK 351C_YB,1.451271,103.819804,14,YELLOWBOX,,Y,SBW-00B0
313,642676-4,1.346084,103.704133,4,RACKS,HDB,Y,JRW-0464
314,BUS STOP 56259,1.37677,103.834736,10,YELLOWBOX,,N,AMK-0396
315,560402-1,1.361395,103.855305,8,RACKS,HDB,Y,AMK-01CA
316,822256-2,1.406118,103.896228,16,RACKS,HDB,Y,PGL-02C4
317,570289-2,1.35665,103.845087,6,RACKS,HDB,Y,BIS-016C
318,510479-2,1.375209,103.95891,16,RACKS,HDB,Y,PSR-0222
319,650343-1,1.362426,103.748933,10,RACKS,HDB,Y,BKB-011B
320,760626-2,1.417666,103.835719,16,RACKS,HDB,Y,YSH-0394
321,520851-2,1.352926,103.934938,15,RACKS,HDB,Y,TPN-0377
322,370034-1,1.328671,103.887365,7,RACKS,HDB,N,GYL-0100
323,120419-4,1.310079,103.769467,13,RACKS,HDB,Y,CMT-00D4
324,822120-2,1.394901,103.90757,9,RACKS,HDB,Y,PGL-0266
325,MARINE CRESCENT BLOCK 30_YB,1.304294,103.911108,6,YELLOWBOX,,Y,MRP-00A0
326,730506-2,1.43254,103.790662,5,RACKS,HDB,Y,WLS-030D
327,520451-3,1.35662,103.954389,4,RACKS,HDB,Y,TPN-0074
