,name,latitude,longitude,capacity,rackType,organisation,isSheltered,qr
23226,520209-1,1.351911,103.952722,9,RACKS,HDB,Y,TPN-0048
23227,530444-1,1.379481,103.893648,4,RACKS,HDB,Y,HOG-01E3
23228,650168-1,1.347085,103.741619,5,RACKS,HDB,Y,BKB-008E
23229,EDGEFIELD PLAINS BLOCK 104B_YB,1.396627,103.905224,10,YELLOWBOX,,Y,PGL-0253
23230,653450-4,1.352066,103.743753,6,RACKS,HDB,Y,BKB-0210
23231,520885-4,1.35112,103.933007,4,RACKS,HDB,Y,TPN-03CF
23232,BUS STOP 40401,1.3573,103.731199,33,YELLOWBOX,,N,TEG-0058
23233,310098-1,1.339258,103.848696,10,RACKS,HDB,N,TPY-0118
23234,PETIR ROAD BLOCK 203_YB,1.372796,103.775624,11,YELLOWBOX,,Y,BPJ-0051
23235,520332-1,1.353292,103.96059,4,RACKS,HDB,Y,TPN-01F3
23236,BUS STOP 71029,1.336294,103.894923,10,YELLOWBOX,,N,GYL-034A
23237,820132-2,1.39347,103.910698,8,RACKS,HDB,Y,PGL-00B4
23238,750307-3,1.445886,103.82174,6,RACKS,HDB,N,SBW-00E5
23239,470629-1,1.334137,103.914835,5,RACKS,HDB,Y,BDK-04F7
23240,530685-1,1.37546,103.886011,5,RACKS,HDB,Y,HOG-02ED
23241,683817-5,1.377435,103.749167,12,RACKS,HDB,Y,CCK-0308
23242,681691-5,1.401072,103.751539,8,RACKS,HDB,Y,CCK-02A6
23243,560547-2,1.374163,103.858119,20,RACKS,HDB,Y,AMK-042E
23244,730036-1,1.445279,103.772265,4,RACKS,HDB,Y,WLS-027E
23245,670241-2,1.379495,103.771651,10,RACKS,HDB,Y,BPJ-01B0
23246,CHOA CHU KANG AVENUE 4 BLOCK 434_YB,1.384394,103.741092,16,YELLOWBOX,,Y,CCK-01C0
23247,670204-2,1.373107,103.774491,4,RACKS,HDB,Y,BPJ-0284
23248,760868-2,1.413551,103.837882,10,RACKS,HDB,Y,YSH-04BB
23249,HEARTBEAT@BEDOK_C_R,1.326549,103.93135,28,RACKS,PA,N,BDK-05E0
23250,460004-25,1.322494,103.933527,12,RACKS,HDB,Y,BDK-0144
23251,BUKIT PANJANG RING ROAD BLOCK 249_YB,1.381021,103.774192,16,YELLOWBOX,,Y,BPJ-007B
23252,520389-2,1.354741,103.958011,5,RACKS,HDB,Y,TPN-0232
23253,460044-1,1.329065,103.925808,3,RACKS,HDB,Y,BDK-01DD
23254,WOODLANDS RING ROAD BLOCK 636_YB,1.436779,103.802829,8,YELLOWBOX,,Y,WLS-0147
23255,560588-2,1.371256,103.859493,8,RACKS,HDB,Y,AMK-02CC
23256,760362-2,1.428518,103.845076,8,RACKS,HDB,Y,YSH-02FA
23257,760296-1,1.435377,103.835731,5,RACKS,HDB,Y,YSH-0134
23258,640547-2,1.353025,103.715013,4,RACKS,HDB,Y,JRW-0258
23259,BUS STOP 10351,1.286853,103.822107,10,YELLOWBOX,,N,BKM-02EF
23260,330097-2,1.323719,103.870196,5,RACKS,HDB,Y,KLG-01BB
23261,643697-3,1.340418,103.708269,7,RACKS,HDB,Y,JRW-04D0
23262,730154-1,1.434903,103.775126,4,RACKS,HDB,Y,WLS-02A3
23263,763478-2,1.429928,103.851156,8,RACKS,HDB,Y,YSH-06D4
23264,CANTONMENT CLOSE BLOCK 18_YB,1.273797,103.839355,12,YELLOWBOX,,Y,BKM-00B0
23265,PUNGGOL DRIVE BLOCK 665B_YB,1.402114,103.914331,6,YELLOWBOX,,Y,PGL-004E
23266,753131B-2,1.444037,103.830731,6,RACKS,HDB,Y,SBW-0268
23267,BUS STOP 46501,1.437662,103.771192,10,YELLOWBOX,,N,WLS-0559
23268,640834-2,1.343031,103.693977,6,RACKS,HDB,Y,JRW-032A
23269,670155-1,1.375196,103.76504,5,RACKS,HDB,Y,BPJ-0038
23270,PASIR RIS FARMWAY 3,1.388002,103.930404,10,YELLOWBOX,,N,PSR-0398
23271,762508-1,1.414226,103.839831,10,RACKS,HDB,Y,YSH-0549
23272,760349-4,1.42625,103.843278,20,RACKS,HDB,Y,YSH-02E2
23273,090039-2,1.271836,103.822609,3,RACKS,HDB,Y,BKM-00FB
23274,760851-2,1.41554,103.836967,8,RACKS,HDB,Y,YSH-0499
23275,730414-2,1.427751,103.773336,6,RACKS,HDB,Y,WLS-02F5
23276,821268-1,1.404153,103.897469,18,RACKS,HDB,Y,PGL-019F
23277,762671-1,1.418891,103.842605,2,RACKS,HDB,Y,YSH-0557
23278,560255-2,1.370685,103.834493,6,RACKS,HDB,Y,AMK-0060
23279,520256-2,1.352897,103.949817,6,RACKS,HDB,Y,TPN-017C
23280,600337-2,1.349829,103.731804,5,RACKS,HDB,Y,JRE-020B
23281,732680-3,1.439336,103.802183,8,RACKS,HDB,Y,WLS-0168
23282,410657-1,1.333859,103.907128,6,RACKS,HDB,Y,BDK-011E
23283,520403-4,1.357519,103.945211,10,RACKS,HDB,Y,TPN-0245
23284,823232-2,1.401929,103.890165,6,RACKS,HDB,Y,PGL-03BC
23285,330097-1,1.32368,103.870184,5,RACKS,HDB,Y,KLG-01BC
23286,SIMS PLACE BLOCK 53_YB,1.317369,103.880193,16,YELLOWBOX,,N,GYL-00C9
23287,520383-2,1.354019,103.958324,5,RACKS,HDB,Y,TPN-0228
23288,600219-1,1.340714,103.738168,4,RACKS,HDB,Y,JRE-0125
23289,GARDENS BY THE BAY MRT_2,1.277895,103.867139,100,RACKS,MRT,N,DTC-005C
23290,ULU PANDAN PCN (TOH GUAN ROAD EAST),1.338037,103.748462,3,RACKS,NPARKS,N,JRE-0047
23291,120343-1,1.317649,103.771036,8,RACKS,HDB,Y,CMT-00A9
23292,682804-1,1.372976,103.742189,13,RACKS,HDB,Y,CCK-02DC
23293,140147-1,1.294378,103.804996,6,RACKS,HDB,Y,QST-00EF
23294,520731-1,1.357169,103.934327,6,RACKS,HDB,Y,TPN-0304
23295,670401-2,1.380658,103.768834,5,RACKS,HDB,Y,BPJ-0089
23296,320029-1,1.325386,103.858589,4,RACKS,HDB,Y,NOV-003B
23297,120604-2,1.305514,103.767432,8,RACKS,HDB,Y,CMT-011F
